! VOLCANO_NAMES.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! B. Hughes/SAB          2/04   Changed Smithsonian Number to Volcano Names for Map (D. Plummer)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated to include all SI GVP volcanoes with Last Known Eruption in CE
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
Grozny_G 999999 Grozny_Group                     -- --  4501  14787  1158  0 Kuril.Is
Guagua_P 999999 Guagua_Pichincha                 -- --   -17  -7860  4784  0 Ecuador
Guallati 999999 Guallatiri                       -- -- -1842  -6909  6071  0 Chile-N
Guguan   999999 Guguan                           -- --  1731  14584   287  0 Mariana.Is-C.Pacific
Guntur   999999 Guntur                           -- --  -714  10784  2251  0 Java
Hachijoj 999999 Hachijojima                      -- --  3314  13977   854  0 Izu.Is-Japan
Hainan_V 999999 Hainan_Volcanic_Field            -- --  1990  11023   196  0 China
Hakkodas 999999 Hakkodasan                       -- --  4066  14088  1585  0 Honshu-Japan
Hakoneya 999999 Hakoneyama                       -- --  3523  13902  1438  0 Honshu-Japan
Hakusan  999999 Hakusan                          -- --  3616  13677  2702  0 Honshu-Japan
Haleakal 999999 Haleakala                        -- --  2071 -15625  3055  0 Hawaiian.Is
Halla    999999 Halla                            -- --  3336  12653  1919  0 SouthKorea
Hargy    999999 Hargy                            -- --  -533  15110  1148  0 New.Britain-SW.Pac
Harunasa 999999 Harunasan                        -- --  3648  13885  1449  0 Honshu-Japan
Havre_Se 999999 Havre_Seamount                   -- -- -3108 -17903  -897  0 Kermadec.Is
Hayes    999999 Hayes                            -- --  6164 -15241  3034  0 Alaska-SW
Healy    999999 Healy                            -- -- -3500  17897  -980  0 New.Zealand
Heard    999999 Heard                            -- -- -5311   7351  2745  0 Indian.O
Hekla    999999 Hekla                            -- --  6398  -1967  1490  0 Iceland
Hengill  999999 Hengill                          -- --  6408  -2142   803  0 Iceland-SW
Hierro   999999 Hierro                           -- --  2773  -1803  1500  0 Canary.Is
Hiuchiga 999999 Hiuchigatake                     -- --  3696  13928  2356  0 Honshu-Japan
Home_Ree 999999 Home_Reef                        -- -- -1899 -17478   -10  0 Tonga-SW.Pacific
Hood     999999 Hood                             -- --  4537 -12170  3426  0 US-Oregon
Hornopir 999999 Hornopiren                       -- -- -4187  -7243  1572  0 Chile-S
Hualalai 999999 Hualalai                         -- --  1969 -15587  2523  0 Hawaiian.Is
Huanquih 999999 Huanquihue_Group                 -- -- -3989  -7158  2189  0 Argentina-C
Huaynapu 999999 Huaynaputina                     -- -- -1661  -7085  4850  0 Peru
Hudson,_ 999999 Hudson,_Cerro                    -- -- -4590  -7297  1905  0 Chile-S
Huequi   999999 Huequi                           -- -- -4238  -7258  1318  0 Chile-S
Huila    999999 Huila                            -- --   293  -7603  5364  0 Colombia
Hunga_To 999999 Hunga_Tonga-Hunga_Ha'apai        -- -- -2054 -17538   114  0 Tonga-SW.Pacific
Hunter_I 999999 Hunter_Island                    -- -- -2240  17205   297  0 SW.Pacific
Ibu      999999 Ibu                              -- --   149  12763  1325  0 Halmahera-Indonesia
Ichinsky 999999 Ichinsky                         -- --  5568  15772  3596  0 Kamchatka
Ijen     999999 Ijen                             -- --  -806  11424  2769  0 Java
