PHZ113 Kauai_Channel
LSZ247 Portage_Lake_to_Huron_Island_MI_to_Lower_Entrance_of_Portage_Canal_To_Huron_Islands_MI_Including_Keweenaw_and_Huron_Bays
LSZ248 Huron_Islands_to_Marquette_MI
LSZ249 Marquette_to_Munising_MI
LSZ250 Munising_to_Grand_Marais_MI
LSZ251 Grand_Marais_to_Whitefish_Point_MI
LSZ265 Lake_Superior_West_of_Line_from_Manitou_Island_to_Marquette_MI_Beyond_5NM_from_shore
LMZ522 Green_Bay_south_of_line_from__Oconto_WI_to_Little_Sturgeon_Bay_WI
LMZ521 Green_Bay_south_of_line_from__Cedar_River_to_Rock_Island_Passage_and_north_of_a_line_from_Oconto_WI_to_Little_Sturgeon_Bay_WI
LMZ221 Green_Bay_North_of_line_from_Cedar_River_MI_to_Rock_Island_Passage
LMZ541 Rock_Island_Passage_to_Sturgeon_Bay_WI
LMZ250 5NM_East_of_a_line_from_Fairport_MI_to_Rock_Island_Passage
LSZ321 Whitefish_Bay_(U.S._Portion)/Whitefish_Point_to_Point_Iroquois_MI
LSZ322 St._Marys_River_Point_Iroquois_to_E._Potagannissing_Bay
LMZ248 Seul_Choix_Point_to_Point_Detour_MI
LHZ346 St_Ignace_to_False_Detour_Channel
LMZ341 Seul_Choix_Point_to_5NM_West_of_Mackinac_Bridge
LHZ361 Lake_Huron_from_5NM_east_of_Mackinac_Bridge_to_Presque_Isle_Lt__to_the_US/Canadian_border_beyond_5_NM_from_shore
LHZ347 5NM_East_of_Mackinac_Bridge_to_Presque_Isle_Light_MI_including_Bois_Blanc_Island
LHZ345 Straits_of_Mackinac_within_5_nm_of_Mackinac_Bridge_including_Mackinac_Island
LMZ323 Grand_Traverse_Bay_south_of_a_line_Grand_Traverse_Light_to_Norwood_MI
LMZ364 Lake_Michigan_from_Charlevoix_to_Point_Betsie_MI_5NM_Offshore_to_mid_lake
LMZ362 Lake_Michigan_South_of_a_line_from_Seul_Choix_Point_to_the_Mackinac_Bridge_and_North_of_a_line_from_Charlevoix_MI_to_South_Fox_Island_5NM_offshore
LMZ344 Sleeping_Bear_Point_to_Grand_Traverse_Light_MI
LMZ342 Norwood_MI_to_5NM_West_of_Mackinac_Bridge_including_Little_Traverse_Bay
LSZ266 Lake_Superior_East_of_a_line_from_Manitou_Island_to_Marquette_MI_and_West_of_a_line_from_Grand_Marais_MI_to_the_US/Canadian_Border_Beyond_5NM_from_shore
LSZ267 Lake_Superior_from_Grand_Marais_MI_to_Whitefish_Point_MI_5NM_off_shore_to_the_US/Canadian_border
LMZ643 Sheboygan_to_Port_Washington_WI
LMZ543 Two_Rivers_to_Sheboygan_WI
LMZ542 Sturgeon_Bay_to_Two_Rivers_WI
LMZ346 Manistee_to_Point_Betsie_MI
LCZ423 Detroit_River
LEZ444 Michigan_Waters_of_Lake_Erie_from_Detroit_River_to_North_Cape_MI
LEZ142 Maumee_Bay_to_Reno_Beach_OH
LEZ163 Reno_Beach_to_The_Islands_OH_beyond_5NM_off_shoreline_to_US-Canadian_border
LEZ143 Reno_Beach_to_The_Islands_OH
LEZ144 The_Islands_to_Vermilion_OH
LEZ145 Vermilion_to_Avon_Point_OH
LEZ146 Avon_Point_to_Willowick_OH
LMZ567 Lake_Michigan_from_Two_Rivers_to_Sheboygan_WI_5NM_offshore_to_Mid_Lake
LMZ868 Lake_Michigan_from_Pentwater_to_Manistee_MI_5NM_offshore_to_Mid_Lake
LMZ565 Lake_Michigan_from_Sturgeon_Bay_to_Two_Rivers_WI_5NM_offshore_to_Mid_Lake
LMZ366 Lake_Michigan_from_Point_Betsie_to_Manistee_MI_5NM_offshore_to_Mid_Lake
LMZ563 Lake_Michigan_from_Rock_Island_Passage_to_Sturgeon_Bay_WI_5NM_offshore_to_mid_lake
LMZ046 Michigan_City_IN_to_New_Buffalo_MI
LMZ844 St_Joseph_to_South_Haven_MI
LMZ743 Calumet_Harbor_IL_to_Gary_IN
LMZ742 Northerly_Island_to_Calumet_Harbor_IL
LMZ741 Wilmette_Harbor_to_Northerly_Island_IL
LMZ740 Winthrop_Harbor_to_Wilmette_Harbor_IL
LMZ646 Wind_Point_WI_to_Winthrop_Harbor_IL
LMZ645 North_Point_Light_to_Wind_Point_WI
LMZ644 Port_Washington_to_North_Point_Light_WI
LHZ348 Presque_Isle_Light_to_Sturgeon_Pt_MI_Including_Thunder_Bay_National_Marine_Sanctuary
LHZ349 Sturgeon_Pt_to_Alabaster_MI
LHZ421 Outer_Saginaw_Bay_SW_of_Alabaster_to_Port_Austin_MI_to_Inner_Saginaw_Bay
LHZ422 Inner_Saginaw_Bay_SW_of_Point_Au_Gres_to_Bay_Port_MI
LHZ363 Lake_Huron_from_Sturgeon_Point_to_Alabaster_MI_5NM_off_shore_to_US/Canadian_border
LHZ441 Port_Austin_to_Harbor_Beach_MI
LHZ462 Lake_Huron_from_Port_Austin_to_Harbor_Beach_5NM_Off_Shore_to_the_US/Canadian_border
LMZ261 Lake_Michigan_from_Seul_Choix_Point_to_Rock_Island_Passage_5NM_offshore_to_Mid_Lake
LHZ362 Lake_Huron_from_Presque_Isle_Lt._to_Sturgeon_Point__MI_5NM_off_shore_to_US/Canadian_border
LHZ463 Lake_Huron_from_Harbor_Beach_to_Port_Sanilac_5NM_Off_Shore_to_US/Canadian_border
LEZ147 Willowick_to_Geneva-on-the_Lake_OH
LEZ148 Geneva-on-the-Lake_to_Conneaut_OH
LEZ149 Conneaut_OH_to_Ripley_NY
LEZ040 Ripley_to_Dunkirk_NY
LOZ043 Hamlin_Beach_to_Sodus_Bay_NY
LOZ044 Sodus_Bay_to_Mexico_Bay_NY
LHZ464 Lake_Huron_from_Port_Sanilac_to_Port_Huron_5NM_Off_Shore_to_US/Canadian_border
LEZ162 Detroit_River_Lt._to_Maumee_Bay_OH_to_Reno_Beach_OH_beyond_5NM_offshoreline_to_US-Canadian_border
LEZ164 The_Islands_to_Vermilion_OH_beyond_5_nm_off_shoreline_to_US-Canadian_border
LEZ165 Vermilion_to_Avon_Point_OH_beyond_5_nm_off_shoreline_to_US-Canadian_border
LEZ166 Avon_Point_to_Willowick_OH_beyond_5_nm_off_shoreline_to_US-Canadian_border
LEZ167 Willowick_to_Geneva-on-the-Lake_OH_beyond_5NM_off_shoreline_to_US-Canadian_border
LEZ041 Dunkirk_to_Buffalo_NY
LEZ020 Upper_Niagara_River_and_Buffalo_Harbor
SLZ024 St._Lawrence_River_from_Ogdensburg_to_St._Regis_NY
LOZ045 Mexico_Bay_NY_to_the_St._Lawrence_River
PKZ125 Prince_William_Sound
LEZ168 Geneva-on-the-Lake_to_Conneaut_OH_beyond_5_nm_off_shoreline_to_US-Canadian_border
LEZ169 Conneaut_OH_to_Ripley_NY_beyond_5_nm_off_shoreline_to_US-Canadian_border
LEZ061 Ripley_to_Buffalo_NY_extending_from_5NM_off_shoreline_to_US-Canadian_border
LOZ042 Niagara_River_to_Hamlin_Beach_NY
LOZ062 Niagara_River_to_Hamlin_Beach_NY_beyond_5NM_off_shoreline_to_US-Canadian_border
LOZ063 Hamlin_Beach_to_Sodus_Bay_NY_beyond_5NM_off_shoreline_to_US-Canadian_border
LOZ064 Sodus_Bay_to_Mexico_Bay_NY_beyond_5NM_off_shoreline_to_US-Canadian_border
LOZ065 Mexico_Bay_NY_to_the_St._Lawrence_River_beyond_5NM_off_shoreline_to_US-Canadian_border
LMZ849 Pentwater_to_Manistee_MI
LMZ848 Whitehall_to_Pentwater_MI
LMZ345 Point_Betsie_to_Sleeping_Bear_Point_MI
AMZ470 Waters_from_Altamaha_Sound_GA_to_Fernandina_Beach_FL_from_20_to_60_NM
AMZ472 Waters_from_Fernandina_Beach_to_St._Augustine_FL_from_20_to_60_NM
AMZ474 Waters_from_St._Augustine_to_Flagler_Beach_FL_from_20_to_60_NM
ANZ542 Patuxent_River_to_Broomes_Island_MD
ANZ534 Chesapeake_Bay_from_Drum_Point_MD_to_Smith_Point_VA
ANZ632 Chesapeake_Bay_from_New_Point_Comfort_to_Little_Creek_VA
ANZ636 York_River
LSZ242 Ontonagon_to_Upper_Entrance_of_Portage_Canal_MI
LSZ243 Upper_Entrance_of_Portage_Canal_to_Eagle_River_MI
LSZ244 Eagle_River_to_Manitou_Island_MI
GMZ557 Coastal_waters_from_Pascagoula_Mississippi_to_Stake_Island_out_20_NM
LMZ874 Lake_Michigan_from_Holland_to_Grand_Haven_MI_5NM_offshore_to_Mid_Lake
LMZ872 Lake_Michigan_from_Grand_Haven_to_Whitehall_MI_5NM_offshore_to_Mid_Lake
PZZ565 Coastal_Waters_from_Point_Pinos_to_Point_Piedras_Blancas_California_out_to_10_nm
PZZ560 Coastal_Waters_from_Pigeon_Point_to_Point_Pinos_California_out_to_10_nm
PZZ535 Monterey_Bay
AMZ354 Coastal_waters_from_Savannah_GA_to_Altamaha_Sound_GA_out_20_nm_...including_Grays_Reef_National_Marine_Sanctuary
GMZ770 Waters_from_Okaloosa-Walton_County_Line_to_Mexico_Beach_from_20_to_60_NM
GMZ775 Waters_from_Suwannee_River_to_Apalachicola_FL_from_20_to_60_NM
GMZ870 Waters_from_Tarpon_Springs_to_Suwannee_River_FL_out_20_to_60_NM
GMZ575 Coastal_Waters_from_Stake_Island_LA_to_Southwest_Pass_of_the_Mississippi_River_from_20_to_60_nm
PZZ650 East_Santa_Barbara_Channel_from_Pt._Conception_to_Pt._Mugu_CA_including_Santa_Cruz_Island
PZZ673 Waters_from_Pt._Sal_to_Santa_Cruz_Island_CA_and_westward_60_nm_including_San_Miguel_and_Santa_Rosa_Islands
PZZ645 Point_Piedras_Blancas_to_Point_Sal_westward_out_to_10_NM
GMZ452 Coastal_waters_from_Intracoastal_City_to_Cameron_LA_out_20_NM
GMZ432 Calcasieu_Lake
GMZ455 Coastal_waters_from_Lower_Atchafalaya_River_to_Intracoastal_City_LA_out_20_NM
GMZ031 Florida_Bay_including_Barnes_Sound,_Blackwater_Sound,_and_Buttonwood_Sound
GMZ042 Hawk_Channel_from_Ocean_Reef_to_Craig_Key_out_to_the_reef
