CTZ003    70030 Tolland                          CT US  4185  -7234     0  0 BOX
VTZ010   450100 Orange                           VT US  4401  -7238     0  0 BTV
MAZ003   210030 Eastern_Franklin                 MA US  4256  -7245     0  0 BOX
CTZ011    70110 Southern_Middlesex               CT US  4132  -7245     0  0 OKX
NYZ081   320810 Southeast_Suffolk                NY US  4091  -7246     0  0 OKX
MAZ011   210110 Eastern_Hampden                  MA US  4212  -7249     0  0 BOX
MAZ010   210100 Eastern_Hampshire                MA US  4230  -7251     0  0 BOX
VTZ015   450150 Eastern_Windham                  VT US  4297  -7256     0  0 ALY
CTZ007    70070 Northern_Middlesex               CT US  4150  -7256     0  0 OKX
NYZ079   320790 Northeast_Suffolk                NY US  4099  -7258     0  0 OKX
VTZ012   450120 Windsor                          VT US  4358  -7259     0  0 BTV
VTZ008   450080 Washington                       VT US  4427  -7261     0  0 BTV
VTZ006   450060 Lamoille                         VT US  4461  -7264     0  0 BTV
VTZ016   450160 Eastern_Franklin                 VT US  4487  -7273     0  0 BTV
CTZ002    70020 Hartford                         CT US  4181  -7273     0  0 BOX
VTZ014   450140 Western_Windham                  VT US  4300  -7279     0  0 ALY
MAZ002   210020 Western_Franklin                 MA US  4262  -7279     0  0 BOX
CTZ010    70100 Southern_New_Haven               CT US  4131  -7282     0  0 OKX
VTZ019   450190 Eastern_Rutland                  VT US  4357  -7287     0  0 BTV
MAZ008   210080 Western_Hampshire                MA US  4239  -7287     0  0 BOX
VTZ017   450170 Eastern_Chittenden               VT US  4442  -7293     0  0 BTV
MAZ009   210090 Western_Hampden                  MA US  4217  -7293     0  0 BOX
VTZ018   450180 Eastern_Addison                  VT US  4405  -7297     0  0 BTV
CTZ006    70060 Northern_New_Haven               CT US  4146  -7300     0  0 OKX
VTZ002   450020 Western_Franklin                 VT US  4485  -7303     0  0 BTV
VTZ013   450130 Bennington                       VT US  4304  -7309     0  0 ALY
VTZ011   450110 Western_Rutland                  VT US  4359  -7314     0  0 BTV
MAZ001   210010 Northern_Berkshire               MA US  4256  -7315     0  0 ALY
VTZ005   450050 Western_Chittenden               VT US  4448  -7316     0  0 BTV
NYZ078   320780 Northwest_Suffolk                NY US  4088  -7317     0  0 OKX
NYZ080   320800 Southwest_Suffolk                NY US  4075  -7318     0  0 OKX
VTZ009   450090 Western_Addison                  VT US  4402  -7324     0  0 BTV
CTZ013    70130 Southern_Litchfield              CT US  4163  -7324     0  0 ALY
MAZ025   210250 Southern_Berkshire               MA US  4222  -7325     0  0 ALY
CTZ001    70010 Northern_Litchfield              CT US  4189  -7325     0  0 ALY
VTZ001   450010 Grand_Isle                       VT US  4480  -7329     0  0 BTV
CTZ005    70050 Northern_Fairfield               CT US  4135  -7336     0  0 OKX
NYZ054   320540 Eastern_Rensselaer               NY US  4272  -7341     0  0 ALY
NYZ043   320430 Northern_Washington              NY US  4352  -7342     0  0 ALY
NYZ035   320350 Eastern_Essex                    NY US  4425  -7343     0  0 BTV
CTZ009    70090 Southern_Fairfield               CT US  4113  -7343     0  0 OKX
NYZ084   320840 Southern_Washington              NY US  4316  -7344     0  0 ALY
NYZ028   320280 Eastern_Clinton                  NY US  4480  -7351     0  0 BTV
NYZ061   320610 Eastern_Columbia                 NY US  4225  -7354     0  0 ALY
NYZ179   321790 Southern_Nassau                  NY US  4069  -7358     0  0 OKX
NYZ177   321770 Northern_Nassau                  NY US  4083  -7360     0  0 OKX
