! VOLCANO.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! D.W.Plummer/NCEP       8/04   Added Anatahan (Mariana Is-C Pacific)
! D.W.Plummer/NCEP       8/04   Reconcile w/ NESDIS/SAB operations
! S. Jacobs/NCEP        12/10   Reconcile w/ NESDIS/SAB operations
! S. Gilbert/NCEP        2/14   Updated ID numbers based on new info from Smithsonian
! S. Gilbert/NCEP       11/14   Renamed Negro_de_Mayasquer,_Cerro to Chiles-Cerro_Negro
! S. Guan/NCEP           8/16   Added Sotara (Columbia)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated to include all SI GVP volcanoes with Last Known Eruption in CE
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
390100   999999 Candlemas_Island                 -- -- -5708  -2667   550  0 Antarctica
272020   999999 Canlaon                          -- --  1041  12313  2435  0 Philippines-C
311230   999999 Carlisle                         -- --  5289 -17005  1620  0 Aleutian.Is
357140   999999 Carran-Los_Venados               -- -- -4035  -7207  1114  0 Chile-C
352006   999999 Cayambe                          -- --     3  -7799  5790  0 Ecuador
341030   999999 Ceboruco                         -- --  2112 -10451  2280  0 Mexico-Is
275060   999999 Cendres,_Ile_des                 -- --  1016  10901   -20  0 SE.Asia
263170   999999 Cereme                           -- --  -690  10841  3039  0 Java
352022   999999 Chacana                          -- --   -38  -7825  4643  0 Ecuador
358041   999999 Chaiten                          -- -- -4283  -7265  1122  0 Chile-S
305060   999999 Changbaishan                     -- --  4198  12808  2744  0 China-N.Korea
341080   999999 Chichinautzin                    -- --  1908  -9913  3930  0 Mexico-Is
341120   999999 Chichon,_El                      -- --  1736  -9323  1150  0 Mexico
312110   999999 Chiginagak                       -- --  5714 -15699  2221  0 Alaska
290360   999999 Chikurachki                      -- --  5032  15546  1781  0 Kuril.Is
351110   999999 Chiles-Cerro_Negro               -- --    82  -7794  4698  0 Colombia-Ecuador
357070   999999 Chillan,_Nevados_de              -- -- -3687  -7138  3180  0 Chile-C
352071   999999 Chimborazo                       -- --  -147  -7882  6261  0 Ecuador
290260   999999 Chirinkotan                      -- --  4898  15348   724  0 Kuril.Is
290090   999999 Chirippusan_[Chirip]             -- --  4534  14792  1587  0 Kuril.Is
290150   999999 Chirpoi                          -- --  4653  15087   742  0 Kuril.Is
283220   999999 Chokai                           -- --  3910  14005  2236  0 Honshu-Japan
315030   999999 Churchill                        -- --  6138 -14175  5005  0 Alaska-E
222130   999999 Chyulu_Hills                     -- --  -268   3788  2188  0 Africa-E
331030   999999 Cleft_Segment                    -- --  4483 -13030 -2140  0 Pacific-NE
311240   999999 Cleveland                        -- --  5282 -16994  1730  0 Aleutian_Is
331020   999999 CoAxial_Segment                  -- --  4652 -12958 -2400  0 Pacific-NE
341096   999999 Cofre_de_Perote                  -- --  1949  -9715  4282  0 Mexico-Is
341040   999999 Colima                           -- --  1951 -10362  3850  0 Mexico
266010   999999 Colo_[Una_Una]                   -- --   -16  12160   404  0 Sulawesi-Indonesia
344120   999999 Concepcion                       -- --  1154  -8562  1700  0 Nicaragua
357090   999999 Copahue                          -- -- -3786  -7118  2953  0 Chile-C
344010   999999 Cosiguina                        -- --  1298  -8757   872  0 Nicaragua
352050   999999 Cotopaxi                         -- --   -68  -7844  5911  0 Ecuador
352003   999999 Cuicocha                         -- --    31  -7836  3246  0 Ecuador
351100   999999 Cumbal                           -- --    95  -7787  4764  0 Colombia
243102   999999 Curacoa                          -- -- -1562 -17367   -33  0 Tonga-SW.Pacific
221113   999999 Dabbahu                          -- --  1260   4048  1401  0 Ethiopia
252040   999999 Dakataua                         -- --  -509  15009   408  0 New.Britain-SW.Pac
221041   999999 Dallol                           -- --  1424   4030   -48  0 Ethiopia
221141   999999 Dama_Ali                         -- --  1128   4163  1068  0 Ethiopia
353030   999999 Darwin                           -- --   -18  -9128  1330  0 Galapagos
253060   999999 Dawson_Strait_Group              -- --  -962  15088   500  0 New.Guinea
390030   999999 Deception_Island                 -- -- -6300  -6065   602  0 Antarctica
261230   999999 Dempo                            -- --  -402  10312  3142  0 Sumatra
357050   999999 Descabezado_Grande               -- -- -3558  -7075  3953  0 Chile-C
274020   999999 Didicas                          -- --  1908  12220   228  0 Luzon
263200   999999 Dieng_Volc_Complex               -- --  -720  10988  2565  0 Java
300022   999999 Diky_Greben                      -- --  5145  15698  1040  0 Kamchatka
382070   999999 Don_Joao_de_Castro_Bank          -- --  3823  -2663   -13  0 Azores
351070   999999 Dona_Juana                       -- --   150  -7694  4137  0 Colombia
221100   999999 Dubbi                            -- --  1358   4181  1625  0 Eritrea
268010   999999 Dukono                           -- --   169  12789  1229  0 Halmahera-Indonesia
377020   999999 East_Gakkel_Ridge_at_85°E        -- --  8561   8525 -3800  0 Undersea-Arctic
258001   999999 Eastern_Gemini_Seamount          -- -- -2098  17028   -80  0 SW.Pacific
290380   999999 Ebeko                            -- --  5069  15601  1103  0 Kuril.Is
264100   999999 Ebulobo                          -- --  -882  12119  2096  0 Lesser.Sunda.Is
353011   999999 Ecuador                          -- --    -2  -9155   790  0 Galapagos
320060   999999 Edziza                           -- --  5772 -13063  2786  0 Canada
264160   999999 Egon                             -- --  -868  12246  1661  0 Lesser.Sunda.Is
290270   999999 Ekarma                           -- --  4896  15393  1170  0 Kuril.Is
214010   999999 Elbrus                           -- --  4335   4244  5642  0 Russia
371022   999999 Eldey                            -- --  6373  -2300    70  0 Iceland-NE
222051   999999 Emuruangogolak                   -- --   150   3633  1285  0 Africa-E
257060   999999 Epi                              -- -- -1668  16837   833  0 Vanuatu-SW.Pacific
390020   999999 Erebus                           -- -- -7753  16717  3794  0 Antarctica
221080   999999 Erta_Ale                         -- --  1360   4067   613  0 Ethiopia
285011   999999 Esan                             -- --  4180  14117   618  0 Hokkaido-Japan
211060   999999 Etna                             -- --  3775   1500  3357  0 Italy
372020   999999 Eyjafjoll                        -- --  6363  -1963  1651  0 Iceland-S
371032   999999 Fagradalsfjall                   -- --  6390  -2226   250  0 Iceland-SW
243050   999999 Falcon_Island                    -- -- -2032 -17542   -17  0 Tonga-SW.Pacific
284140   999999 Farallon_de_Pajaros              -- --  2055  14489   337  0 Mariana.Is-C.Pacific
382010   999999 Fayal                            -- --  3858  -2871  1041  0 Azores
221190   999999 Fentale                          -- --   898   3993  2007  0 Ethiopia
353010   999999 Fernandina                       -- --   -37  -9155  1476  0 Galapagos
311350   999999 Fisher                           -- --  5465 -16443  1112  0 Aleutian.Is
384010   999999 Fogo                             -- --  1495  -2435  2829  0 Cape.Verde.Is
243100   999999 Fonualei                         -- -- -1802 -17432   188  0 Tonga-SW.Pacific
233020   999999 Fournaise,_Piton_de_la           -- -- -2124   5571  2632  0 Indian.O-W
312260   999999 Fourpeaked_Volcano               -- --  5877 -15367  2105  0 Alaska.Peninsula
342090   999999 Fuego                            -- --  1447  -9088  3763  0 Guatemala
358090   999999 Fueguino                         -- -- -5497  -7026   157  0 Chile-S
283030   999999 Fujisan                          -- --  3536  13873  3776  0 Honshu-Japan
284133   999999 Fukujin                          -- --  2193  14347  -217  0 Volcano.Is-Japan
284130   999999 Fukutoku-okanoba                 -- --  2428  14148   -29  0 Volcano.Is-Japan
382100   999999 Furnas                           -- --  3777  -2532   805  0 Azores
290340   999999 Fuss_Peak                        -- --  5027  15525  1742  0 Kuril.Is
334070   999999 Galapagos_Rift                   -- --    79  -8615 -2430  0 Undersea-Pacific-E
351080   999999 Galeras                          -- --   122  -7737  4276  0 Colombia
263140   999999 Galunggung                       -- --  -725  10806  2168  0 Java
268060   999999 Gamalama                         -- --    80  12733  1715  0 Halmahera-Indonesia
268040   999999 Gamkonora                        -- --   138  12753  1635  0 Halmahera-Indonesia
311070   999999 Gareloi                          -- --  5179 -17879  1573  0 Aleutian.Is
257020   999999 Gaua                             -- -- -1428  16751   729  0 Vanuatu-SW.Pacific
263060   999999 Gede                             -- --  -679  10698  3026  0 Java
321020   999999 Glacier_Peak                     -- --  4811 -12111  3213  0 US-Washington
300070   999999 Gorely                           -- --  5256  15803  1799  0 Kamchatka
300550   999999 Gorny_Institute                  -- --  5733  16020  2125  0 Kamchatka
383040   999999 Gran_Canaria                     -- --  2800  -1558  1950  0 Canary.Is
311120   999999 Great_Sitkin                     -- --  5208 -17613  1740  0 Aleutian.Is
373010   999999 Grimsvotn                        -- --  6442  -1732  1719  0 Iceland-NE
