! SNAP.TBL
!
! This table contains aviation VOR points and all VOR-relative points.
! VOR-relative points, or 'snapable' points are all points relative to
! individual VOR points located on a 16 point compass in 10nm intervals.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
!!
! Log:
! J. Wu/SAIC	        01/05   Created table
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!STID    STNM   NAME                            ST CO   LAT    LON   ELV  PRI
!(8)     (6)    (32)                            (2)(2)  (5)    (6)   (5)  (2)
HUL00015      9 30ESE_HUL                        -  -   4585  -6717     0  2
HUL00016      9 40ESE_HUL                        -  -   4578  -6695     0  2
HUL00017      9 50ESE_HUL                        -  -   4572  -6673     0  2
HUL00018      9 20SE_HUL                         -  -   4580  -6749     0  2
HUL00019      9 30SE_HUL                         -  -   4569  -6732     0  2
HUL00020      9 40SE_HUL                         -  -   4557  -6716     0  2
HUL00021      9 50SE_HUL                         -  -   4545  -6699     0  2
HUL00022      9 20SSE_HUL                        -  -   4573  -6765     0  2
HUL00023      9 30SSE_HUL                        -  -   4558  -6756     0  2
HUL00024      9 40SSE_HUL                        -  -   4542  -6747     0  2
HUL00025      9 50SSE_HUL                        -  -   4527  -6738     0  2
HUL00026      9 60SSE_HUL                        -  -   4512  -6729     0  2
HUL00027      9 20S_HUL                          -  -   4571  -6783     0  2
HUL00028      9 30S_HUL                          -  -   4554  -6783     0  2
HUL00029      9 40S_HUL                          -  -   4537  -6783     0  2
HUL00030      9 20SSW_HUL                        -  -   4573  -6801     0  2
HUL00031      9 30SSW_HUL                        -  -   4558  -6810     0  2
HUL00032      9 20SW_HUL                         -  -   4580  -6817     0  2
HUL00033      9 20WSW_HUL                        -  -   4591  -6827     0  2
HUL00034      9 30WSW_HUL                        -  -   4585  -6849     0  2
HUL00035      9 20W_HUL                          -  -   4604  -6831     0  2
HUL00036      9 30W_HUL                          -  -   4604  -6855     0  2
HUL00037      9 40W_HUL                          -  -   4604  -6879     0  2
HUL00038      9 20WNW_HUL                        -  -   4617  -6827     0  2
PQI00000      9 PQI                              -  -   4677  -6809     0  1
PQI00001      9 20N_PQI                          -  -   4710  -6809     0  2
PQI00002      9 30N_PQI                          -  -   4727  -6809     0  2
PQI00003      9 40N_PQI                          -  -   4744  -6809     0  2
PQI00004      9 50N_PQI                          -  -   4760  -6809     0  2
PQI00005      9 60N_PQI                          -  -   4777  -6809     0  2
PQI00006      9 70N_PQI                          -  -   4794  -6809     0  2
PQI00007      9 80N_PQI                          -  -   4810  -6809     0  2
PQI00008      9 90N_PQI                          -  -   4827  -6809     0  2
PQI00009      9 100N_PQI                         -  -   4844  -6809     0  2
PQI00010      9 110N_PQI                         -  -   4860  -6809     0  2
PQI00011      9 120N_PQI                         -  -   4877  -6809     0  2
PQI00012      9 130N_PQI                         -  -   4894  -6809     0  2
PQI00013      9 140N_PQI                         -  -   4910  -6809     0  2
PQI00014      9 150N_PQI                         -  -   4927  -6809     0  2
PQI00015      9 160N_PQI                         -  -   4943  -6809     0  2
PQI00016      9 170N_PQI                         -  -   4960  -6809     0  2
PQI00017      9 180N_PQI                         -  -   4977  -6809     0  2
PQI00018      9 190N_PQI                         -  -   4993  -6809     0  2
PQI00019      9 200N_PQI                         -  -   5010  -6809     0  2
PQI00020      9 210N_PQI                         -  -   5027  -6809     0  2
PQI00021      9 220N_PQI                         -  -   5043  -6809     0  2
PQI00022      9 230N_PQI                         -  -   5060  -6809     0  2
PQI00023      9 240N_PQI                         -  -   5077  -6809     0  2
PQI00024      9 250N_PQI                         -  -   5093  -6809     0  2
PQI00025      9 20NNE_PQI                        -  -   4708  -6790     0  2
PQI00026      9 30NNE_PQI                        -  -   4723  -6781     0  2
PQI00027      9 40NNE_PQI                        -  -   4738  -6771     0  2
PQI00028      9 50NNE_PQI                        -  -   4754  -6762     0  2
PQI00029      9 60NNE_PQI                        -  -   4769  -6752     0  2
PQI00030      9 70NNE_PQI                        -  -   4785  -6743     0  2
PQI00031      9 80NNE_PQI                        -  -   4800  -6733     0  2
