! VOLCANO_NAMES.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! B. Hughes/SAB          2/04   Changed Smithsonian Number to Volcano Names for Map (D. Plummer)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
Mahawu   999999 Mahawu                           -- --   135  12487  1299  0 Sulawesi-Indonesia  
Maipo    999999 Maipo                            -- -- -3416  -6983  5323  0 Chile-C             
Makian   999999 Makian                           -- --    32  12740  1357  0 Halmahera-Indonesia 
Makushin 999999 Makushin                         -- --  5389 -16692  1800  0 Aleutian.Is         
Maly_Sem 999999 Maly_Semiachik                   -- --  5414  15967  1527  0 Kamchatka           
Mammoth_ 999999 Mammoth_Mountain                 -- --  3763 -11903  3369  0 US-California       
Manam    999999 Manam                            -- --  -408  14504  1807  0 New.Guinea          
Manda-In 999999 Manda-Inakir                     -- --  1238   4220   600  0 Ethiopia            
Marapi   999999 Marapi                           -- --   -38  10047  2891  0 Sumatra             
Marchena 999999 Marchena                         -- --    33  -9047   343  0 Galapagos           
Marion_I 999999 Marion_Island                    -- -- -4690   3775  1230  0 Indian.O-S          
Martin   999999 Martin                           -- --  5817 -15536  1863  0 Alaska.Peninsula    
Masaya   999999 Masaya                           -- --  1198  -8616   635  0 Nicaragua           
Matthew_ 999999 Matthew_Island                   -- -- -2233  17132   177  0 SW.Pacific          
Mauna_Lo 999999 Mauna_Loa                        -- --  1948 -15561  4170  0 Hawaiian.Is         
Mayon    999999 Mayon                            -- --  1326  12368  2462  0 Luzon-Philippines   
McDonald 999999 McDonald_Islands                 -- -- -5303   7260   230  0 Indian.O-S          
Medicine 999999 Medicine_Lake                    -- --  4161 -12155  2412  0 US-California       
Medvezhi 999999 Medvezhia                        -- --  4539  14884  1124  0 Kuril.Is            
Merapi   999999 Merapi                           -- --  -754  11044  2968  0 Java                
Meru     999999 Meru                             -- --  -325   3675  4565  0 Africa-E            
Metis_Sh 999999 Metis_Shoal                      -- -- -1918 -17487    43  0 Tonga-SW.Pacific    
Michoaca 999999 Michoacan-Guanajuato             -- --  1985 -10175  3860  0 Mexico              
Minami-H 999999 Minami-Hiyoshi                   -- --  2350  14194  -107  0 Volcano.Is-Japan    
Miravall 999999 Miravalles                       -- --  1075  -8515  2028  0 Costa.Rica          
Miyake-j 999999 Miyake-jima                      -- --  3409  13953   775  0 Izu.Is-Japan        
Mocho-Ch 999999 Mocho-Choshuenco                 -- -- -3993  -7203  2422  0 Chile-C             
Momotomb 999999 Momotombo                        -- --  1242  -8654  1297  0 Nicaragua           
Monaco_B 999999 Monaco_Bank                      -- --  3760  -2588  -197  0 Azores              
Monowai_ 999999 Monowai_Seamount                 -- -- -2589 -17719  -132  0 Kermadec.Is         
Mutnovsk 999999 Mutnovsky                        -- --  5245  15820  2288  0 Kamchatka           
Nakano-s 999999 Nakano-shima                     -- --  2986  12986   979  0 Ryukyu.Is           
Nasu     999999 Nasu                             -- --  3713  13996  1915  0 Honshu-Japan        
Negra,_S 999999 Negra,_Sierra                    -- --   -83  -9117  1124  0 Galapagos           
Negro,_C 999999 Negro,_Cerro                     -- --  1251  -8670   728  0 Nicaragua           
Nemo_Pea 999999 Nemo_Peak                        -- --  4957  15481  1018  0 Kuril.Is            
Newberry 999999 Newberry_Volcano                 -- --  4372 -12123  2434  0 US-Oregon           
Niigata- 999999 Niigata-Yake-yama                -- --  3692  13804  2400  0 Honshu-Japan        
Nila     999999 Nila                             -- --  -673  12950   781  0 Banda.Sea           
Nishino- 999999 Nishino-shima                    -- --  2725  14087    25  0 Volcano.Is-Japan    
Niuafo'o 999999 Niuafo'ou                        -- -- -1560 -17563   260  0 Tonga-SW.Pacific    
North_Go 999999 North_Gorda_Ridge                -- --  4267 -12678 -3000  0 Pacific-NE          
Novarupt 999999 Novarupta                        -- --  5827 -15516   841  0 Alaska.Peninsula    
Nyamurag 999999 Nyamuragira                      -- --  -141   2920  3058  0 Africa              
Nyiragon 999999 Nyiragongo                       -- --  -152   2925  3470  0 Africa              
Okataina 999999 Okataina                         -- -- -3812  17650  1111  0 New.Zealand         
Okmok    999999 Okmok                            -- --  5343 -16813  1073  0 Aleutian.Is         
On-take  999999 On-take                          -- --  3589  13748  3067  0 Honshu-Japan        
Oshima   999999 Oshima                           -- --  3472  13939   758  0 Izu.Is-Japan        
Pacaya   999999 Pacaya                           -- --  1438  -9060  2552  0 Guatemala           
Pagan    999999 Pagan                            -- --  1813  14580   570  0 Mariana.Is-C.Pacific
