! VOLCANO.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! D.W.Plummer/NCEP       8/04   Added Anatahan (Mariana Is-C Pacific)
! D.W.Plummer/NCEP       8/04   Reconcile w/ NESDIS/SAB operations
! S. Jacobs/NCEP        12/10   Reconcile w/ NESDIS/SAB operations
! S. Gilbert/NCEP        2/14   Updated ID numbers based on new info from Smithsonian
! S. Gilbert/NCEP       11/14   Renamed Negro_de_Mayasquer,_Cerro to Chiles-Cerro_Negro
! S. Guan/NCEP           8/16   Added Sotara (Columbia)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated LAT, LON. and ELV from current SI where avail
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
311020   999999 Kiska                            -- --  5210  17760  1220  0 Aleutian.Is
284110   999999 Kita-Iwo-jima                    -- --  2542  14128   792  0 Volcano.Is-Japan
300230   999999 Kizimen                          -- --  5513  16032  2334  0 Kamchatka
300260   999999 Kliuchevskoi                     -- --  5606  16064  4754  0 Kamchatka
290120   999999 Kolokol_Group                    -- --  4604  15008  1328  0 Kuril.Is
285020   999999 Komaga-take                      -- --  4206  14068  1131  0 Hokkaido-Japan
300090   999999 Koryaksky                        -- --  5332  15871  3430  0 Kamchatka
373080   999999 Krafla                           -- --  6572  -1673   800  0 Iceland-NE
262000   999999 Krakatau                         -- --  -610  10542   155  0 Indonesia
300200   999999 Kronotsky                        -- --  5475  16053  3482  0 Kamchatka
300050   999999 Ksudach                          -- --  5184  15757  1079  0 Kamchatka
282050   999999 Kuchinoerabu-jima                -- --  3044  13022   657  0 Ryukyu.Is
282120   999999 Kujusan                          -- --  3309  13125  1791  0 Kyushu-Japan
304030   999999 Kunlun_Volc_Group                -- --  3574   8165  5090  0 China-W
312060   999999 Kupreanof                        -- --  5601 -15980  1895  0 Alaska.Peninsula
283210   999999 Kurikoma                         -- --  3896  14079  1627  0 Honshu-Japan
283120   999999 Kusatsu-Shirane                  -- --  3662  13853  2165  0 Honshu-Japan
257070   999999 Kuwae                            -- -- -1683  16854    -2  0 Vanuatu-SW.Pacific
373050   999999 Kverkfjoll                       -- --  6465  -1665  1930  0 Iceland-NE
383010   999999 La_Palma                         -- --  2857  -1783  2426  0 Canary.Is
253010   999999 Lamington                        -- --  -895  14815  1680  0 New.Guinea
252010   999999 Langila                          -- --  -552  14842  1330  0 New.Britain-SW.Pac
355100   999999 Lascar                           -- -- -2337  -6773  5592  0 Chile-N
323080   999999 Lassen_Volc_Center               -- --  4049 -12151  3187  0 US-California
358060   999999 Lautaro                          -- -- -4902  -7350  3542  0 Chile-S
222120   999999 Lengai,_Ol_Doinyo                -- --  -276   3591  2962  0 Africa-E
264180   999999 Lewotobi                         -- --  -854  12278  1703  0 Lesser.Sunda.Is
264230   999999 Lewotolo                         -- --  -827  12351  1431  0 Lesser.Sunda.Is
357110   999999 Llaima                           -- -- -3869  -7173  3125  0 Chile-C
332000   999999 Loihi                            -- --  1892 -15527  -975  0 Hawaii
266100   999999 Lokon-Empung                     -- --   136  12479  1580  0 Sulawesi-Indonesia
252130   999999 Lolobau                          -- --  -492  15116   858  0 New.Britain-Pacific
251050   999999 Long_Island                      -- --  -536  14712  1280  0 New.Guinea
357100   999999 Lonquimay                        -- -- -3838  -7159  2832  0 Chile-C
257050   999999 Lopevi                           -- -- -1651  16835  1413  0 Vanuatu-SW.Pacific
333060   999999 Macdonald                        -- -- -2898 -14025   -39  0 Austral.Is-C.Pacific
351040   999999 Machin                           -- --   449  -7539  2749  0 Colombia
312150   999999 Mageik                           -- --  5820 -15525  2165  0 Alaska.Peninsula
266110   999999 Mahawu                           -- --   135  12486  1299  0 Sulawesi-Indonesia
357021   999999 Maipo                            -- -- -3416  -6983  5323  0 Chile-C
268070   999999 Makian                           -- --    32  12740  1357  0 Halmahera-Indonesia
311310   999999 Makushin                         -- --  5389 -16692  1800  0 Aleutian.Is
300140   999999 Maly_Semiachik                   -- --  5414  15967  1527  0 Kamchatka
323150   999999 Mammoth_Mountain                 -- --  3763 -11903  3369  0 US-California
251020   999999 Manam                            -- --  -408  14504  1807  0 New.Guinea
221122   999999 Manda-Inakir                     -- --  1238   4220   600  0 Ethiopia
261140   999999 Marapi                           -- --   -38  10047  2885  0 Sumatra
353080   999999 Marchena                         -- --    33  -9047   343  0 Galapagos
234070   999999 Marion_Island                    -- -- -4690   3775  1230  0 Indian.O-S
312140   999999 Martin                           -- --  5817 -15536  1863  0 Alaska.Peninsula
344100   999999 Masaya                           -- --  1198  -8616   594  0 Nicaragua
258010   999999 Matthew_Island                   -- -- -2233  17132   177  0 SW.Pacific
332020   999999 Mauna_Loa                        -- --  1948 -15561  4170  0 Hawaiian.Is
273030   999999 Mayon                            -- --  1326  12368  2462  0 Luzon-Philippines
234011   999999 McDonald_Islands                 -- -- -5303   7260   230  0 Indian.O-S
323020   999999 Medicine_Lake                    -- --  4161 -12155  2412  0 US-California
290100   999999 Medvezhia                        -- --  4539  14884  1124  0 Kuril.Is
263250   999999 Merapi                           -- --  -754  11045  2910  0 Java
222160   999999 Meru                             -- --  -324   3675  4550  0 Africa-E
243070   999999 Metis_Shoal                      -- -- -1918 -17487    43  0 Tonga-SW.Pacific
341060   999999 Michoacan-Guanajuato             -- --  1985 -10175  3860  0 Mexico
284131   999999 Minami-Hiyoshi                   -- --  2350  14194  -107  0 Volcano.Is-Japan
345030   999999 Miravalles                       -- --  1075  -8515  2028  0 Costa.Rica
284040   999999 Miyake-jima                      -- --  3409  13953   775  0 Izu.Is-Japan
357130   999999 Mocho-Choshuenco                 -- -- -3993  -7203  2422  0 Chile-C
344090   999999 Momotombo                        -- --  1242  -8654  1270  0 Nicaragua
382110   999999 Monaco_Bank                      -- --  3760  -2588  -197  0 Azores
242050   999999 Monowai_Seamount                 -- -- -2589 -17719  -132  0 Kermadec.Is
300060   999999 Mutnovsky                        -- --  5245  15820  2288  0 Kamchatka
282040   999999 Nakano-shima                     -- --  2986  12986   979  0 Ryukyu.Is
283150   999999 Nasu                             -- --  3712  13996  1915  0 Honshu-Japan
353050   999999 Negra,_Sierra                    -- --   -83  -9117  1124  0 Galapagos
344070   999999 Negro,_Cerro                     -- --  1251  -8670   728  0 Nicaragua
290320   999999 Nemo_Peak                        -- --  4957  15481  1018  0 Kuril.Is
322110   999999 Newberry_Volcano                 -- --  4372 -12123  2434  0 US-Oregon
283090   999999 Niigata-Yake-yama                -- --  3692  13804  2400  0 Honshu-Japan
265060   999999 Nila                             -- --  -673  12950   781  0 Banda.Sea
284096   999999 Nishino-shima                    -- --  2725  14087    25  0 Volcano.Is-Japan
243110   999999 Niuafo'ou                        -- -- -1560 -17563   260  0 Tonga-SW.Pacific
331031   999999 North_Gorda_Ridge                -- --  4267 -12678 -3000  0 Pacific-NE
312180   999999 Novarupta                        -- --  5827 -15516   841  0 Alaska.Peninsula
223020   999999 Nyamuragira                      -- --  -141   2920  3058  0 Africa
223030   999999 Nyiragongo                       -- --  -152   2925  3470  0 Africa
241050   999999 Okataina                         -- -- -3812  17650  1111  0 New.Zealand
311290   999999 Okmok                            -- --  5343 -16813  1073  0 Aleutian.Is
283040   999999 On-take                          -- --  3589  13748  3067  0 Honshu-Japan
284010   999999 Oshima                           -- --  3472  13939   746  0 Izu.Is-Japan
342110   999999 Pacaya                           -- --  1438  -9060  2569  0 Guatemala
284170   999999 Pagan                            -- --  1813  14580   570  0 Mariana.Is-C.Pacific
252080   999999 Pago                             -- --  -558  15052   724  0 New.Britain-SW.Pac
264150   999999 Paluweh                          -- --  -832  12171   875  0 Lesser.Sunda.Is
263100   999999 Papandayan                       -- --  -732  10773  2665  0 Java
312030   999999 Pavlof                           -- --  5542 -16189  2493  0 Alaska.Peninsula
360120   999999 Pelee                            -- --  1481  -6117  1372  0 W.Indies
390031   999999 Penguin_Island                   -- -- -6210  -5793   180  0 Antarctica
263040   999999 Perbaki-Gagak                    -- --  -675  10668  1726  0 Java
261030   999999 Peuet_Sague                      -- --   490   9629  2785  0 Sumatra
344080   999999 Pilas,_Las                       -- --  1250  -8669  1088  0 Nicaragua
273083   999999 Pinatubo                         -- --  1513  12035  1486  0 Luzon-Philippines
353070   999999 Pinta                            -- --    58  -9075   780  0 Galapagos
357040   999999 Planchon-Peteroa                 -- -- -3522  -7057  3977  0 Chile-C
345040   999999 Poas                             -- --  1020  -8423  2697  0 Costa.Rica
341090   999999 Popocatepetl                     -- --  1902  -9862  5393  0 Mexico
390140   999999 Protector_Shoal                  -- -- -5591  -2817   -55  0 Antarctica
351060   999999 Purace                           -- --   232  -7640  4650  0 Colombia
355090   999999 Putana                           -- -- -2256  -6785  5884  0 Chile-N
357150   999999 Puyehue_Cordon_Caulle            -- -- -4059  -7212  2236  0 Chile-C
252140   999999 Rabaul                           -- --  -427  15220   688  0 New.Britain-SW.Pac
271060   999999 Ragang                           -- --   769  12451  2790  0 Mindanao-Philippines
290250   999999 Raikoke                          -- --  4829  15325   551  0 Kuril.Is
321030   999999 Rainier                          -- --  4685 -12176  4392  0 US-Washington
264071   999999 Ranakah                          -- --  -862  12052  2350  0 Lesser.Sunda.Is
242030   999999 Raoul_Island                     -- -- -2927 -17792   516  0 Kermadec.Is
290220   999999 Rasshua                          -- --  4777  15302   956  0 Kuril.Is
263340   999999 Raung                            -- --  -812  11406  3260  0 Java
313030   999999 Redoubt                          -- --  6048 -15274  3108  0 Alaska-SW
352010   999999 Reventador                       -- --    -8  -7766  3562  0 Ecuador
345020   999999 Rincon_de_la_Vieja               -- --  1083  -8532  1916  0 Costa.Rica
264030   999999 Rinjani                          -- --  -842  11647  3726  0 Lesser.Sunda.Is
251070   999999 Ritter_Island                    -- --  -552  14812    75  0 New.Guinea
267010   999999 Ruang                            -- --   230  12537   725  0 Sangihe.Is-Indonesia
241100   999999 Ruapehu                          -- -- -3928  17557  2797  0 New.Zealand
284202   999999 Ruby                             -- --  1562  14557  -230  0 Mariana.Is-C.Pacific
351020   999999 Ruiz                             -- --   489  -7532  5279  0 Colombia
241130   999999 Rumble_III                       -- -- -3574  17848  -220  0 New.Zealand
354006   999999 Sabancaya                        -- -- -1579  -7186  5960  0 Peru
282080   999999 Sakura-jima                      -- --  3159  13066  1117  0 Kyushu-Japan
263050   999999 Salak                            -- --  -672  10673  2218  0 Java
344020   999999 San_Cristobal                    -- --  1270  -8700  1745  0 Nicaragua
382030   999999 San_Jorge                        -- --  3865  -2808  1053  0 Azores
357020   999999 San_Jose                         -- -- -3379  -6990  6070  0 Chile-C
343100   999999 San_Miguel                       -- --  1343  -8827  2130  0 El.Salvador
355070   999999 San_Pedro                        -- -- -2189  -6839  6142  0 Chile-N
343050   999999 San_Salvador                     -- --  1373  -8929  1893  0 El.Salvador
352090   999999 Sangay                           -- --  -200  -7834  5286  0 Ecuador
264050   999999 Sangeang_Api                     -- --  -820  11907  1912  0 Lesser.Sunda.Is
343020   999999 Santa_Ana                        -- --  1385  -8963  2381  0 El.Salvador
224004   999999 Santa_Isabel                     -- --   359    876  2999  0 Africa
342030   999999 Santa_Maria                      -- --  1476  -9155  3745  0 Guatemala
353090   999999 Santiago                         -- --   -22  -9077   920  0 Galapagos
212040   999999 Santorini                        -- --  3640   2540   367  0 Greece
