The following table lists all of the possible IOSTAT errors encountered on the HPUX,
SunOS, IRIX 4 and IRIX 5 machines.  Use this table to translate an IOSTAT code which
is not translated by SS_IRET.  To translate, take the IOSTAT code returned by the
program and locate it under the appropriate column on the right-hand side.

This table was constructed using information derived from the following sources:
HPUX:	/usr/include/sys/errno.h
	/usr/lib/nls/C/f77_msgs.cat
	man pages for PERROR (3F)	

SunOS:	/usr/include/sys/errno.h
	man pages for INTRO (2) and PERROR (3F)

IRIX:  	/usr/include/sys/errno.h
	man pages for INTRO (2) and PERROR (3F)

A number with a following asterisk indicates that there is another instance of the same
IOSTAT number elsewhere in the table.  

A sole asterisk indicates that there is no IOSTAT number which correpsonds to the 
given message.

!#      Message							 HP   SUN   IX4   IX5
!-      -------                                          	---   ---   ---   ---
173  ``cannot read from stdout''				  *     *     *   173
174  ``cannot write to stdin''					  *     *     *   174
175  ``stat call failed in f77inode''				  *     *     *   175
176  ``duplicate key value on write''				  *     *   131   131
177  ``indexed file not open''					  *     *   132   132
178  ``bad isam argument''					  *     *   133   133
179  ``bad key description''					  *     *   134   134
180  ``No end record''						  *     *   120   120
181  ``Direct unformatted I/O not allowed.''			  *     *     *   181
182  ``cannot open a directory''				  *     *     *   182
183  ``subscript out of bounds''				  *     *     *   183
184  ``function not declared as varargs''			  *     *     *   184
185  ``internal error'' -- may be due to illegal		  *     *     *   185
!     vararg usage.
186 /* symbol does not exist in executable			215     *     *     *
187 /* Too many processes					  *    67     *     *
188 /* Option not supported by protocol				  *     *   108*    *
190 /* Protocol not available					220    42     *    99
191 /* Protocol not supported					221    43   109*  120*
192 /* Socket type not supported				222    44   110*  121*
193 /* Operation not supported					223    45   111*  122*
194 /* Protocol family not supported				224    46   112*  123*
195 /* Address family not supported by protocol family		225    47   113*  124*
196 /* Network is down					 	228    50   116*  127*
197 /* Network is unreachable					229    51   117*  128*
198 /* Network dropped connection on reset			230    52   118*  129*
199 /* Software caused connection abort				231    53   119*  130*
200 /* Connection reset by peer					232    54   120*  131*
201 /* No buffer space available				233    55   121*  132*
202 /* Socket is not connected					235    57   123*  134*
203 /* Can't send after socket shutdown				236    58   124*  143* 
204 /* Too many references: can't splice			237    59   125*  144*
205 /* Connection timed out					238    60   126*  145*
206 /* Connection refused					239    61   127*  146*
