! NIDPRD.TBL
!
! This table contains product information necessary to interpret the
! header of a NIDS radar image.
!
! LOCAL images are identified by a positive source ID less than 10000.
! NATIONAL Mosaic images are identified by a source ID equal to 10000.
! REGIONAL Mosaic images are identified by a source ID between 10001 and 10007,
! inclusive.  Alaska Mosaic Site ID is 10051 and Hawaii Mosaic Site ID is 10052.
!
!!
! Log:
! S. Jacobs/NCEP	12/97
! S. Jacobs/NCEP	 2/98	Updated per UNISYS product catalog
! S. Jacobs/NCEP	 4/98	Fixed spelling of abbreviations
! S. Jacobs/NCEP	11/02	Added product #74 - RCM
! G. Grosshans/SPC	03/07	Added NSSL Level-II imagery
! G. Grosshans/SPC	05/07	Added Level-II CAPPI imagery per Levit
! G. Grosshans/SPC	05/07	Changed CAPPI imagery Prod ID numbers
!				to unused numbers at the SPC.  Added
!				1 and 2 HR CUM PCPN
NATIONAL CREF         27      16 DBZ        4.00 COMP_REFL_4KM
NATIONAL CREF         28      16 DBZ        8.00 COMP_REFL_8KM
NATIONAL CREF         30      16 DBZ        4.00 COMP_REFL_4KM
NATIONAL CREF         35      16 DBZ        8.00 COMP_REFL_8KM
NATIONAL CREF         50       8 DBZ        4.00 COMP_REFL_4KM
NATIONAL CREF         65       8 DBZ        8.00 COMP_REFL_8KM
NATIONAL PRCP1        89      16 INCHES     2.00 PRECIP_1HR_2KM
NATIONAL PRCP1        90      16 INCHES     4.00 PRECIP_1HR_4KM
NATIONAL PRCP1        91      16 INCHES     8.00 PRECIP_1HR_8KM
NATIONAL TOPS         95      16 KFT        4.00 ECHO_TOPS_4KM
NATIONAL TOPS         96      16 KFT        8.00 ECHO_TOPS_8KM
NATIONAL PRCPC       101      16 INCHES     4.00 PRECIP_CMLTV_4KM
NATIONAL PRCP24      102      16 INCHES     4.00 PRECIP_24HR_4KM
NATIONAL CREF        103      16 DBZ        4.00 COMP_REFL_4KM
NATIONAL CREF        104      16 DBZ        8.00 COMP_REFL_8KM
NATIONAL PRCPC       105      16 INCHES     2.00 PRECIP_CMLTV_2KM
NATIONAL PRCP24      106      16 INCHES     2.00 PRECIP_24HR_2KM
NATIONAL PRCPC       107      16 INCHES     8.00 PRECIP_CMLTV_8KM
NATIONAL PRCP24      108      16 INCHES     8.00 PRECIP_24HR_8KM
NATIONAL BREF        137      16 DBZ        2.00 BASE_REFL_NFLT_2KM
NATIONAL BREF        138      16 DBZ        2.00 BASE_REFL_NFLTC_2KM
NATIONAL BREF        139      16 DBZ        1.00 BASE_REFL_1KM
NATIONAL BREF        140      16 DBZ        2.00 BASE_REFL_2KM
NATIONAL BREF        141      16 DBZ        4.00 BASE_REFL_4KM
NATIONAL BREF        142      16 DBZ        8.00 BASE_REFL_8KM
NATIONAL BREF        144      16 DBZ        4.00 BASE_REFL_ALB_4KM
NATIONAL LARFL       145       8 DBZ        4.00 LYR_AVG_REFL_LOW
NATIONAL LARFM       146       8 DBZ        4.00 LYR_AVG_REFL_MID
NATIONAL LARFH       147       8 DBZ        4.00 LYR_AVG_REFL_HIGH
NATIONAL VIL         148      16 KG/M**2    4.00 PREC_WATER_4KM
NATIONAL VIL         149      16 KG/M**2    4.00 PREC_WATER_8KM
!
! Used for data from other vendors.
NATIONAL CREF          5      16 DBZ        4.00 COMP_REFL_4KM
NATIONAL CREF         10      16 DBZ        8.00 COMP_REFL_8KM
NATIONAL CREF         13       8 DBZ        4.00 COMP_REFL_4KM
NATIONAL CREF         25       8 DBZ        8.00 COMP_REFL_8KM
NATIONAL CREF         26      16 DBZ        4.00 COMP_REFL_4KM
NATIONAL BREF         70      16 DBZ        2.00 BASE_REFL_2KM
NATIONAL BREF         75      16 DBZ        4.00 BASE_REFL_4KM
NATIONAL BREF         80      16 DBZ        8.00 BASE_REFL_8KM
!------------------------------------------------------------------------
! Used for the UNISYS data feed.
REGIONAL CREF         30      16 DBZ        4.00 COMP_REFL
REGIONAL PRCPC       105      16 INCHES     2.00 PRECIP_CMLTV
REGIONAL PRCP24      106      16 INCHES     2.00 PRECIP_24HR
REGIONAL BREF        137      16 DBZ        2.00 BASE_REFL_NFLT_2KM
REGIONAL BREF        138      16 DBZ        2.00 BASE_REFL_NFLTC_2KM
REGIONAL BREF        139      16 DBZ        1.00 BASE_REFL_1KM
REGIONAL BREF        140      16 DBZ        2.00 BASE_REFL_2KM
REGIONAL BREF        141      16 DBZ        4.00 BASE_REFL_4KM
!------------------------------------------------------------------------
! Other products for identification only (not necessarily images)
LOCAL    RCM          74       0 NONE       0.00 RADAR_CODED_MSG
!------------------------------------------------------------------------
! NSSL Level-II imagery
NATIONAL PRCPC       200      16 INCHES     1.00 W2_PRECIP_CMLTV_1HR_1KM
NATIONAL PRCPC       201      16 INCHES     1.00 W2_PRECIP_CMLTV_2HR_1KM
NATIONAL CREF        202      16 DBZ        1.00 W2_COMP_REFL_1KM
NATIONAL RALA        203      16 DBZ        1.00 W2_REFL_RALA_1KM
NATIONAL RT10        204      16 S**-1      1.00 W2_ROTR_10MN_1KM
NATIONAL RT30        205      16 S**-1      1.00 W2_ROTR_30MN_1KM
NATIONAL RT60        206      16 S**-1      1.00 W2_ROTR_60MN_1KM
NATIONAL POSH        207      16 PERCENT    1.00 W2_PROB_SEVERE_HAIL_1KM
NATIONAL MESH        208      16 INCHES     1.00 W2_MAXM_SIZE_HAIL_1KM
NATIONAL VIL         209      16 KG/M**2    1.00 W2_PREC_WATER_1KM
NATIONAL ECHO        210      16 KFT        1.00 W2_ECHO_TOPS_1KM_18DBZ
NATIONAL CREF        211      16 DBZ        1.00 W2_COMP_REFL_1KM
NATIONAL ECHO        212      16 KFT        1.00 W2_ECHO_TOPS_1KM_30DBZ
NATIONAL ECHO        213      16 KFT        1.00 W2_ECHO_TOPS_1KM_50DBZ
