PARM = HOUR;PRES;HGHT;TMPC;DWPC;SSTC;SPED;DRCT

STID     DATTIM         HOUR    PRES    HGHT    TMPC    DWPC    SSTC    SPED    DRCT
F0001194 930618/2100  1.1250 1005.53  171.38   16.41   12.92   18.11    4.43   22.59
F0001195 930618/2100  1.1278 1005.80  169.72   16.45   12.90   17.59    5.65   17.95
F0001196 930618/2100  1.1306 1005.73  170.10   16.32   13.25   17.96    5.60   15.09
F0001197 930618/2100  1.1333 1006.24  165.71   16.33   12.85   18.23    6.09   12.14
F0001198 930618/2100  1.1361 1006.21  165.90   16.38   13.11   18.08    6.47   15.41
F0001199 930618/2100  1.1389 1006.07  167.22   16.43   13.27   18.13    5.90   18.95
F0001200 930618/2100  1.1417 1006.29  165.15   16.37   13.30   17.90    5.46   19.19
F0001201 930618/2100  1.1444 1006.44  164.54   16.41   12.98   18.22    5.74   21.93
F0001202 930618/2100  1.1472 1006.38  164.48   16.52   12.43   17.96    6.08   21.62
F0001203 930618/2100  1.1500 1006.35  164.61   16.40   13.01   18.14    5.73   15.72
F0001204 930618/2100  1.1528 1006.46  163.09   16.61   12.77   18.02    6.30   23.11
F0001205 930618/2100  1.1556 1005.88  168.36   16.40   12.61   18.00    5.79   19.82
F0001206 930618/2100  1.1583 1006.63  162.60   16.48   12.09   18.17    6.49   18.77
F0001207 930618/2100  1.1611 1006.90  160.04   16.45   12.65   18.20    6.42   23.08
F0001208 930618/2100  1.1639 1006.63  161.81   16.51   12.59   18.03    6.72   18.67
F0001209 930618/2100  1.1667 1006.63  162.32   16.45   13.04   18.02    6.44   25.01
F0001210 930618/2100  1.1694 1006.80  160.51   16.45   12.92   18.01    6.51   23.71
F0001211 930618/2100  1.1722 1006.91  158.90   16.59   13.04   18.15    7.02   27.67
F0001212 930618/2100  1.1750 1006.81  160.39   16.47   12.82   18.11    6.70   20.93
F0001213 930618/2100  1.1778 1006.98  158.80   16.56   12.80   17.97    7.11   24.35
F0001214 930618/2100  1.1806 1006.82  159.94   16.53   12.72   17.95    7.00   21.09
F0001215 930618/2100  1.1833 1006.50  162.92   16.47   12.68   18.37    5.90   23.05
F0001216 930618/2100  1.1861 1006.58  162.03   16.47   12.49   18.08    6.52   22.34
F0001217 930618/2100  1.1889 1006.06  166.43   16.44   13.08   18.09    5.84   17.55
F0001218 930618/2100  1.1917 1006.45  163.42   16.45   12.72   18.00    6.43   25.60
F0001219 930618/2100  1.1944 1006.84  160.04   16.46   12.88   18.02    6.13   24.33
F0001220 930618/2100  1.1972 1006.60  161.86   16.46   12.66   18.01    5.86   21.69
F0001221 930618/2100  1.2000 1006.41  163.45   16.59   12.29   18.00    6.34   30.58
F0001222 930618/2100  1.2028 1006.47  163.43   16.46   12.55   17.66    6.39   22.91
F0001223 930618/2100  1.2056 1006.71  160.99   16.47   12.78   17.93    6.50   27.61
F0001224 930618/2100  1.2083 1006.82  160.15   16.48   12.77   18.31    6.45   26.56
F0001225 930618/2100  1.2111 1006.76  160.33   16.50   12.57   18.22    6.74   22.70
F0001226 930618/2100  1.2139 1006.79  160.38   16.56   12.77   17.98    6.48   21.22
F0001227 930618/2100  1.2167 1006.55  162.14   16.47   12.94   18.14    6.42   25.74
F0001228 930618/2100  1.2194 1006.42  163.55   16.47   12.62   18.24    6.63   22.09
F0001229 930618/2100  1.2222 1006.73  161.24   16.53   12.62   17.94    6.96   21.15
F0001230 930618/2100  1.2250 1006.50  162.36   16.49   12.96   18.09    6.85   22.00
F0001231 930618/2100  1.2278 1006.48  162.91   16.50   13.03   17.99    6.18   27.21
F0001232 930618/2100  1.2306 1005.49  171.41   16.41   13.07   17.91    5.81   12.06
F0001233 930618/2100  1.2333 1005.69  169.94   16.41   12.87   17.91    6.50   18.63
F0001234 930618/2100  1.2361 1005.96  167.14   16.45   12.74   17.95    7.04   17.22
F0001235 930618/2100  1.2389 1006.41  163.26   16.63   12.98   18.09    6.15   17.76
F0001236 930618/2100  1.2417 1006.36  164.16   16.57   12.80   18.05    5.77   17.09
F0001237 930618/2100  1.2444 1006.73  160.29   16.66   12.40   17.75    7.30   15.78
F0001238 930618/2100  1.2472 1006.39  162.99   16.58   12.55   17.77    6.86   14.26
F0001239 930618/2100  1.2500 1006.04  166.25   16.51   12.28   17.85    7.56   11.45
F0001240 930618/2100  1.2528 1006.03  166.30   16.48   12.30   17.76    7.07   13.76
F0001241 930618/2100  1.2556 1006.40  162.56   16.52   12.54   17.94    7.21   15.77
F0001242 930618/2100  1.2583 1006.12  165.17   16.46   12.52   17.83    6.84   12.23
F0001243 930618/2100  1.2611 1006.27  164.44   16.44   12.26   17.78    7.44   13.51
F0001244 930618/2100  1.2639 1006.20  164.44   16.37   12.99   17.93    6.28    8.19
F0001245 930618/2100  1.2667 1006.24  164.76   16.38   12.48   17.84    6.54    6.14
F0001246 930618/2100  1.2694 1006.02  166.80   16.27   13.57   17.63    6.21   19.26
F0001247 930618/2100  1.2722 1006.31  163.84   16.44   12.75   17.94    5.61   16.24
F0001248 930618/2100  1.2750 1006.03  166.04   16.33   12.49   17.72    6.57   22.54
F0001249 930618/2100  1.2778 1006.02  166.28   16.39   12.46   17.63    6.03   21.63
F0001250 930618/2100  1.2806 1006.67  161.23   16.42   12.45   17.84    7.04   23.79
F0001251 930618/2100  1.2833 1007.01  158.24   16.49   12.32   17.91    7.44   13.37
F0001252 930618/2100  1.2861 1006.61  158.55   16.40   12.04   17.89    7.29   18.21
F0001253 930618/2100  1.2889 1000.68  204.46   16.11   11.91   17.91    7.18   14.12
F0001254 930618/2100  1.2917  986.06  333.71   14.95   11.67   18.35    7.45    9.08
F0001255 930618/2100  1.2944  976.75  415.43   14.22   11.20   17.94    7.17    8.40
F0001256 930618/2100  1.2972  966.00  508.27   13.47   10.08   17.40    8.39    7.62
F0001257 930618/2100  1.3000  954.19  611.98   12.58    9.97   17.68    7.72  358.27
F0001258 930618/2100  1.3028  945.48  692.08   11.88    9.48   17.54    6.40  357.46
F0001259 930618/2100  1.3056  940.05  741.86   11.65    8.84   17.40    4.46   10.17
F0001260 930618/2100  1.3083  936.94  770.98   11.45    8.71   17.57    4.69   11.73
F0001261 930618/2100  1.3111  935.32  787.52   11.23    9.16   17.25    4.60   12.22
F0001262 930618/2100  1.3139  936.34  777.32   11.30    9.39   17.26    4.14   33.77
F0001263 930618/2100  1.3167  935.57  783.76   11.25    8.62   17.36    4.24   35.92
F0001264 930618/2100  1.3194  934.64  792.48   11.02    9.18   17.05    5.24   32.66
F0001265 930618/2100  1.3222  935.25  786.22   11.23    8.41   17.24    4.96   36.59
F0001266 930618/2100  1.3250  936.40  776.15   10.88    8.38   14.12    4.30   37.96
F0001267 930618/2100  1.3278  936.54  773.61   11.33    8.67   17.18    4.08   36.82
F0001268 930618/2100  1.3306  936.44  774.75   11.29    9.45   16.98    3.55   35.58
F0001269 930618/2100  1.3333  936.21  777.09   11.28   10.84   10.34    4.98   39.96
F0001270 930618/2100  1.3361  935.83  780.53   11.33   10.02   16.73    5.00   54.53
F0001271 930618/2100  1.3389  936.56  773.72   11.30    9.08   17.11    4.33   46.23
F0001272 930618/2100  1.3417  936.34  775.89   11.23    9.06   17.32    4.52   44.15
F0001273 930618/2100  1.3444  935.98  779.93   11.24    8.83   15.84    5.11   33.19
F0001274 930618/2100  1.3472  935.19  786.11   11.20    9.49   17.04    5.67   37.41
F0001275 930618/2100  1.3500  935.46  784.71   11.25    9.25   16.73    5.43   30.50
F0001276 930618/2100  1.3528  936.34  776.84   11.41    9.04   15.32    4.52   34.46
F0001277 930618/2100  1.3556  936.52  775.02   11.33    9.13   17.13    5.17   29.77
F0001278 930618/2100  1.3583  936.29  776.98   11.44    8.95   17.14    5.47   36.35
F0001279 930618/2100  1.3611  936.05  778.90   11.55    9.65   10.67    4.01   22.58
F0001280 930618/2100  1.3639  935.77  782.21   11.78    8.38   17.37    4.85   36.65
F0001281 930618/2100  1.3667  935.95  780.97   11.21   10.67   12.24    5.52   38.58
F0001282 930618/2100  1.3694  935.94  780.19   11.22   11.21   11.11    4.76   42.37
F0001283 930618/2100  1.3722  935.76  781.57   11.36    9.84   17.54    4.96   23.80
F0001284 930618/2100  1.3750  936.40  776.25   11.59    8.91   17.35    5.28   42.25
F0001285 930618/2100  1.3778  936.89  771.56   11.71    8.65   17.14    4.93   37.18
F0001286 930618/2100  1.3806  936.97  770.78   11.69    8.70   17.21    4.88   34.88
F0001287 930618/2100  1.3833  936.27  777.49   11.68    9.92   10.44    5.03   21.68
F0001288 930618/2100  1.3861  935.58  783.04   11.04   10.88   16.00    6.11   27.27
F0001289 930618/2100  1.3889  936.33  777.66   11.54    9.44   17.11    4.42   30.17
F0001290 930618/2100  1.3917  937.22  767.68   11.72    9.17   17.28    4.97   26.81
F0001291 930618/2100  1.3944  937.29  767.67   11.39    9.00   16.90    5.30   24.26
F0001292 930618/2100  1.3972  937.15  769.72   11.31    9.74   17.15    5.01   35.73
F0001293 930618/2100  1.4000  936.85  771.32   11.37    8.61   16.63    6.51   27.53
F0001294 930618/2100  1.4028  936.77  771.95   11.45    9.08   16.70    4.57   25.29
F0001295 930618/2100  1.4056  937.02  770.98   11.59    8.98   17.48    4.50   31.22
F0001296 930618/2100  1.4083  936.29  777.14   11.30   12.02   12.45    5.35   22.04
F0001297 930618/2100  1.4111  935.82  780.33   11.41   10.12   12.99    6.04   27.12
F0001298 930618/2100  1.4139  936.93  771.57   11.49    9.04   17.39    4.84   26.90
F0001299 930618/2100  1.4167  937.46  766.85   11.54    9.09   17.53    4.94   23.77
F0001300 930618/2100  1.4194  937.17  768.74   11.38    8.80   17.58    4.92   21.33
F0001301 930618/2100  1.4222  936.60  773.18   11.53    8.51   17.42    5.11   18.75
F0001302 930618/2100  1.4250  936.26  776.55   11.66    8.04   17.27    5.37   25.87
F0001303 930618/2100  1.4278  936.43  776.45   11.70    7.81   17.19    5.26   25.30
F0001304 930618/2100  1.4306  936.59  774.04   11.72    7.65   17.24    5.57   23.79
F0001305 930618/2100  1.4333  936.56  774.26   11.59    7.83   17.21    5.39   24.49
F0001306 930618/2100  1.4361  936.40  776.12   11.60    8.57   17.33    5.39   26.14
F0001307 930618/2100  1.4389  936.39  775.72   11.50    8.62   17.19    5.66   28.61
F0001308 930618/2100  1.4417  936.53  776.20   11.51    8.69   17.18    5.23   28.86
F0001309 930618/2100  1.4444  936.54  773.56   11.58    8.54   17.30    4.85   26.81
F0001310 930618/2100  1.4472  936.74  773.17   11.68    8.14   17.29    4.91   25.74
F0001311 930618/2100  1.4500  936.74  772.44   11.69    8.28   17.04    4.59   26.81
F0001312 930618/2100  1.4528  936.69  772.97   11.60    8.48   17.09    4.83   28.11
F0001313 930618/2100  1.4556  936.41  775.56   11.56    8.50   17.25    5.11   28.99
F0001314 930618/2100  1.4583  936.41  776.17   11.60    8.51   17.47    5.02   31.05
F0001315 930618/2100  1.4611  936.56  774.49   11.49    8.67   17.41    5.61   24.11
F0001316 930618/2100  1.4639  936.60  774.27   11.56    8.58   17.23    5.65   24.67
F0001317 930618/2100  1.4667  936.24  777.23   11.72    8.41   17.25    5.12   23.05
F0001318 930618/2100  1.4694  936.24  777.55   11.49    8.93   17.35    4.67   24.78
F0001319 930618/2100  1.4722  936.23  777.38   11.50    8.62   17.40    5.22   24.83
F0001320 930618/2100  1.4750  936.20  780.33   11.41    9.03   17.26    5.04   25.38
F0001321 930618/2100  1.4778  938.40  759.91   11.68    8.52   17.38    5.07   20.76
F0001322 930618/2100  1.4806  937.64  765.67   11.59    9.44   17.21    5.27   21.81
F0001323 930618/2100  1.4833  936.44  775.48   11.57    8.86   17.43    5.85   20.71
F0001324 930618/2100  1.4861  935.38  785.92   11.44    8.96   17.39    5.79   17.99
F0001325 930618/2100  1.4889  935.56  783.49   11.45    8.75   17.67    5.48   21.18
F0001326 930618/2100  1.4917  935.91  780.69   11.31    8.81   17.64    5.70   25.29
F0001327 930618/2100  1.4944  936.24  778.37   11.47    8.51   17.51    5.55   25.47
F0001328 930618/2100  1.4972  936.24  777.73   11.55    8.28   16.83    5.66   21.30
F0001329 930618/2100  1.5000  936.21  777.40   11.54    8.04   17.42    5.54   18.43
F0001330 930618/2100  1.5028  936.07  778.56   11.57    7.91   17.51    5.38   20.41
F0001331 930618/2100  1.5056  936.04  779.27   11.56    7.61   17.47    5.40   17.84
F0001332 930618/2100  1.5083  936.24  776.87   11.65    8.49   17.45    4.98   18.14
F0001333 930618/2100  1.5111  936.35  774.45   11.67    7.79   17.44    5.33   16.01
F0001334 930618/2100  1.5139  936.39  774.76   11.71    7.62   17.40    5.32   16.23
F0001335 930618/2100  1.5167  936.45  774.35   11.51    8.06   17.16    5.31   20.61
F0001336 930618/2100  1.5194  936.20  777.41   11.74    7.97   17.26    5.33   14.95
F0001337 930618/2100  1.5222  936.26  775.89   11.71    7.96   17.21    5.22   18.87
F0001338 930618/2100  1.5250  936.26  775.42   11.66    8.22   17.36    5.55   18.98
F0001339 930618/2100  1.5278  936.56  772.42   11.81    8.30   17.23    5.26   17.85
F0001340 930618/2100  1.5306  936.49  772.94   11.64    8.27   17.23    5.19   19.43
F0001341 930618/2100  1.5333  936.33  774.41   11.89    7.73   17.52    5.16   20.95
F0001342 930618/2100  1.5361  936.30  775.19   11.93    7.11   17.28    5.30   16.38
F0001343 930618/2100  1.5389  936.44  773.71   11.91    7.33   17.17    5.30   17.37
F0001344 930618/2100  1.5417  936.68  771.03   11.87    7.37   17.20    5.46   14.45
F0001345 930618/2100  1.5444  936.92  768.53   11.72    8.26   17.24    5.81    7.91
F0001346 930618/2100  1.5472  937.05  768.24   11.89    7.90   17.35    5.32    9.64
F0001347 930618/2100  1.5500  936.89  769.32   11.66    8.67   17.23    5.56    8.44
F0001348 930618/2100  1.5528  936.52  771.76   11.59    8.38   17.25    5.37    9.74
F0001349 930618/2100  1.5556  936.37  773.55   11.67    8.11   17.40    5.37    5.35
F0001350 930618/2100  1.5583  936.39  772.92   11.49    7.32   11.89    5.82   14.36
F0001351 930618/2100  1.5611  936.20  776.27   11.51    7.21   17.02    6.12   20.28
F0001352 930618/2100  1.5639  936.27  775.56   11.37    7.55   17.25    6.12   20.17
F0001353 930618/2100  1.5667  936.53  772.07   11.58    7.22   17.17    5.97   20.00
F0001354 930618/2100  1.5694  936.40  772.30   11.56    7.36   17.19    5.99   15.97
F0001355 930618/2100  1.5722  936.50  771.70   11.42    8.48   15.83    5.80   13.38
F0001356 930618/2100  1.5750  936.56  770.97   11.40    8.18   17.14    5.47   17.75
F0001357 930618/2100  1.5778  936.33  773.81   11.44    8.30   17.13    5.63   14.72
F0001358 930618/2100  1.5806  936.23  773.55   11.42    8.56   17.38    5.37   10.47
F0001359 930618/2100  1.5833  936.24  773.95   11.38    8.80   17.23    5.76    6.88
F0001360 930618/2100  1.5861  936.29  773.35   11.48    7.94   17.21    5.39   13.48
F0001361 930618/2100  1.5889  936.73  769.42   11.54    7.46   17.06    5.20    9.42
F0001362 930618/2100  1.5917  936.79  769.70   11.50    8.08   17.26    4.98    9.87
F0001363 930618/2100  1.5944  936.65  769.53   11.60    8.14   17.07    4.65   12.22
F0001364 930618/2100  1.5972  936.46  770.93   11.51    8.03   16.94    4.89   11.13
F0001365 930618/2100  1.6000  936.66  769.56   11.59    7.66   16.90    4.86    7.88
F0001366 930618/2100  1.6028  936.73  768.86   11.73    7.17   16.96    4.84    9.84
F0001367 930618/2100  1.6056  936.53  770.81   11.57    7.12   16.92    4.70   12.02
F0001368 930618/2100  1.6083  936.30  772.41   11.65    7.02   17.11    4.68    7.12
F0001369 930618/2100  1.6111  936.35  772.90   11.62    7.47   17.04    4.55   14.02
F0001370 930618/2100  1.6139  936.21  773.58   11.64    7.36   16.90    4.67   13.50
F0001371 930618/2100  1.6167  936.45  771.36   11.64    7.45   17.05    4.60   12.65
F0001372 930618/2100  1.6194  936.19  772.86   11.71    7.19   17.16    4.16    5.62
F0001373 930618/2100  1.6222  936.38  771.40   11.77    6.93   17.09    4.47   11.30
F0001374 930618/2100  1.6250  936.24  773.22   11.68    7.87   16.98    4.43   13.36
F0001375 930618/2100  1.6278  936.20  773.06   11.85    7.08   17.14    4.79   12.68
F0001376 930618/2100  1.6306  936.20  772.68   11.62    8.56   17.07    4.79   13.75
F0001377 930618/2100  1.6333  936.41  770.69   11.40    8.21   17.10    5.05   11.83
F0001378 930618/2100  1.6361  936.07  774.46   11.40    8.50   17.02    5.40   13.20
F0001379 930618/2100  1.6389  936.03  774.62   11.34    8.16   17.02    5.21   15.45
F0001380 930618/2100  1.6417  936.27  772.49   11.52    7.93   17.18    5.00   12.55
F0001381 930618/2100  1.6444  936.44  770.42   11.68    7.69   17.09    4.73    9.23
F0001382 930618/2100  1.6472  936.41  770.74   11.61    7.68   16.99    4.40    6.35
F0001383 930618/2100  1.6500  935.98  771.70   11.63    7.57   17.39    4.52   10.51
F0001384 930618/2100  1.6528  933.32  798.20   11.44    7.79   17.13    4.61    6.29
F0001385 930618/2100  1.6556  912.97  979.68   10.28    6.84   16.85    5.18   14.36
F0001386 930618/2100  1.6583  902.36 1077.84    9.84    5.87   17.07    5.53    8.04
F0001387 930618/2100  1.6611  893.43 1160.43    9.04    5.07   16.85    5.00    9.05
F0001388 930618/2100  1.6639  886.06 1228.75    8.25    6.05   16.54    5.57    9.63
F0001389 930618/2100  1.6667  870.41 1372.28    7.33    4.20   16.12    3.84  358.66
F0001390 930618/2100  1.6694  864.13 1433.45    6.67    4.03   16.26    3.83  359.39
F0001391 930618/2100  1.6722  857.14 1500.56    6.05    3.86   16.35    4.16  356.02
F0001392 930618/2100  1.6750  851.52 1555.76    5.54    3.79   16.23    4.52  356.81
F0001393 930618/2100  1.6778  852.85 1544.01    5.66    3.88   16.18    4.78  357.73
F0001394 930618/2100  1.6806  853.99 1534.08    5.82    3.89   16.11    4.77    0.98
F0001395 930618/2100  1.6833  853.50 1539.34    5.78    3.92   16.21    4.79    0.91
F0001396 930618/2100  1.6861  853.77 1536.38    5.89    3.92   16.07    5.53    8.30
F0001397 930618/2100  1.6889  853.65 1537.31    5.90    3.92   16.38    5.18  357.12
F0001398 930618/2100  1.6917  853.30 1540.78    5.87    3.94   16.06    4.87    4.07
F0001399 930618/2100  1.6944  853.27 1542.01    5.82    3.90   16.23    4.74    4.82
F0001400 930618/2100  1.6972  853.40 1540.73    5.80    3.90   16.37    4.56    6.85
F0001401 930618/2100  1.7000  853.62 1539.37    5.90    3.92   16.09    4.97    6.63
F0001402 930618/2100  1.7028  853.82 1536.87    5.85    3.86   16.20    4.68    2.75
F0001403 930618/2100  1.7056  853.76 1537.85    5.94    3.73   16.17    5.63    8.35
F0001404 930618/2100  1.7083  853.72 1538.11    5.87    3.75   16.15    4.58    6.24
F0001405 930618/2100  1.7111  853.69 1537.74    5.89    3.77   15.13    4.29    7.26
F0001406 930618/2100  1.7139  853.89 1536.61    5.87    3.92   16.12    4.00    9.42
F0001407 930618/2100  1.7167  854.09 1533.42    5.95    3.71   16.15    4.81   12.70
F0001408 930618/2100  1.7194  853.95 1534.86    5.97    3.65   16.23    4.86    5.11
F0001409 930618/2100  1.7222  853.58 1539.26    5.93    3.69   16.30    4.88    5.04
F0001410 930618/2100  1.7250  853.54 1537.97    5.84    3.80   16.47    4.61    5.98
F0001411 930618/2100  1.7278  853.61 1538.82    5.86    3.80   16.22    4.76    8.80
